Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C,proteinID
82.49205,71.40855,71.81775,73.3767,70.87305,81.46845,77.6685,83.24405,70.4835,86.6051,79.9997,73.2115,CHOYP_ISCW_ISCW012010.1.1|m.27251
12.41215,12.53395,0,4.52855,13.113,9.2384,13.16125,7.5174,11.53815,8.24565,7.0403,14.4023,CHOYP_ANR40.1.1|m.1429
15.29765,15.4393,24.7209,18.57085,26.90985,9.47135,9.03485,10.2291,14.3392,22.5797,23.84465,14.7531,CHOYP_ISCW_ISCW012036.1.1|m.27987
0.9611,0.9747,4.49815,0.88545,2.45025,0,0.88275,0.96785,2.5763,2.0543,3.48265,0.94335,CHOYP_ISCW_ISCW012232.1.1|m.38746
31.1401,6.80475,57.19835,28.6021,27.7339,45.9183,47.732,31.86805,56.5607,29.7575,58.6962,43.38455,CHOYP_ISCW_ISCW012366.1.1|m.3691
5.21395,3.5289,4.2511,4.7727,9.2551,4.8909,3.1166,8.77115,3.26715,13.5807,9.819,1.74695,CHOYP_ISCW_ISCW012623.1.1|m.26452
0,0,0,0,0,0,2.63795,0,0,0,0,0,CHOYP_ISCW_ISCW013556.1.1|m.26406
45.99515,53.84765,50.21445,50.9591,51.43125,38.46835,41.0479,46.4083,47.7114,48.58645,45.81335,56.45225,CHOYP_ISCW_ISCW013767.1.1|m.29335
0,0,0,1.1789,5.51635,0,4.4719,0,2.42995,1.4311,5.9022,0,CHOYP_ISCW_ISCW013795.1.1|m.12153
103.5628,81.2013,85.2129,61.7552,77.88065,72.57305,62.26355,75.7884,63.1628,63.39825,75.8006,82.9833,CHOYP_ISCW_ISCW014398.1.3|m.15838
10.0783,13.6426,20.53865,55.966,23.85305,15.75045,24.1043,20.40105,37.22155,26.2509,12.61745,45.79205,CHOYP_ISCW_ISCW014398.1.3|m.15839
7.84355,5.30875,0,4.80115,11.5848,4.9004,6.98115,2.73255,4.91485,5.84125,4.95145,7.6331,CHOYP_ISCW_ISCW014726.5.5|m.47210
3.4874,0,2.8647,0,1.06985,0,2.13665,0,0,0,0,1.16925,CHOYP_AOF.1.1|m.7109
2.69675,0,0.8699,1.29685,0.64715,2.5158,3.5998,2.04715,3.16605,1.49945,3.18825,2.61145,CHOYP_ISCW_ISCW014880.1.1|m.27977
