proteinID,ClusterID,ClusterColor,19_16,21_23,23_23,25_23,27_23,29_23,31_23,21_29,23_29,25_29,27_29,29_29,31_29
CHOYP_LOC100368004.1.1.m.62584,1,darkslategray1,3.068,2.95795,5.8432,3.06345,9.23195,0.1,4.0514,6.1255,9.96875,0.1,0.1,0.1,0.1
CHOYP_LOC100368023.1.1.m.14890,1,darkslategray1,2.609,4.919,2.55975,2.7041,2.62995,5.5675,0.1,5.19395,0.1,0.1,2.75575,0.1,0.1
CHOYP_LOC100368071.1.1.m.6755,1,darkslategray1,4.7439,3.0498,1.60605,0.1,1.64955,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_LOC100368360.1.1.m.9672,1,darkslategray1,45.0905,28.99205,7.443,2.55895,7.773,0.1,0.1,10.1999,2.7662,0.1,0.1,0.1,0.1
CHOYP_LOC100369194.1.1.m.42345,1,darkslategray1,6.86105,4.9608,2.76945,4.07615,7.0391,2.5131,3.79795,2.32865,0.6701,0.1,1.2101,3.1475,1.2041
CHOYP_LOC100369290.1.1.m.66929,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.26365,2.85885,3.01285,2.67685
CHOYP_LOC100369712.1.1.m.64282,1,darkslategray1,8.26745,7.96585,8.02345,8.436,8.4988,0.1,10.9768,8.4111,9.08405,0.1,0.1,0.1,8.24605
CHOYP_LOC100372208.1.1.m.18397,1,darkslategray1,1.6609,1.6021,1.5967,1.72915,0.1,1.78725,2.19655,0.1,0.1,0.1,0.1,1.8131,1.67855
CHOYP_LOC100372473.1.5.m.7845,1,darkslategray1,3.6086,5.21985,0.1,0.1,1.93595,2.0444,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_LOC100372473.3.5.m.39839,1,darkslategray1,23.8771,18.6112,11.0095,1.23265,1.2389,0.1,22.64735,6.94305,8.7312,2.79515,0.1,0.1,0.1
CHOYP_LOC100373522.2.5.m.19698,2,black,15.9013,0.1,0.1,0.1,5.7861,8.8326,0.1,12.71655,9.89065,31.59925,8.43045,16.27525,0.1
CHOYP_LOC100373578.1.1.m.478,1,darkslategray1,1.1453,1.10535,0.1,3.3233,0.1,2.38295,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_LOC100374254.1.1.m.22199,1,darkslategray1,7.0563,6.7989,3.5189,7.20015,7.25375,0.1,0.1,7.2494,0.1,0.1,0.1,0.1,3.60785
CHOYP_LOC100375029.6.10.m.36981,2,black,0.1,0.1,0.1,0.1,0.1,0.1,29.79795,0.1,0.1,0.1,35.4582,49.04275,11.08805
CHOYP_LOC100375029.8.10.m.60484,2,black,0.1,18.18765,2.3577,23.5857,2.50335,2.5749,3.16975,0.1,0.1,0.1,9.9523,0.1,40.0302
CHOYP_LOC100376200.1.1.m.19157,1,darkslategray1,0.1,4.62315,0.1,4.9726,4.99865,0.1,6.3289,0.1,0.1,0.1,0.1,0.1,4.71995
CHOYP_LOC100376749.1.1.m.27252,1,darkslategray1,3.70335,1.8012,0.1,1.94455,5.65075,2.0101,0.1,0.1,0.1,0.1,0.1,2.0393,0.1
