protein,PC1loadings,PC2loadings
CHOYP_ISCW_ISCW012036.1.1.m.27987,0.00228686824065491,0.000532434115598915
CHOYP_ISCW_ISCW012232.1.1.m.38746,0.00893677199993894,0.011605984654732
CHOYP_ISCW_ISCW012366.1.1.m.3691,-0.00318626733172461,0.00910747209466696
CHOYP_ISCW_ISCW012623.1.1.m.26452,-0.00389096200992135,0.00180105465679692
CHOYP_ISCW_ISCW013556.1.1.m.26406,-0.00383082438636083,0.00520063815209736
CHOYP_ISCW_ISCW013767.1.1.m.29335,0.00127612830035789,-6.04836428339201e-05
CHOYP_ISCW_ISCW013795.1.1.m.12153,-0.0114282323414432,0.0204841104269533
CHOYP_ISCW_ISCW014398.1.3.m.15838,0.00116527257376623,-0.00337678691905558
CHOYP_ISCW_ISCW014398.1.3.m.15839,-0.00046241398106781,0.0100136698330364
CHOYP_ISCW_ISCW014726.5.5.m.47210,-0.00720294732375176,-0.011363466929474
CHOYP_AOF.1.1.m.7109,0.00361952868773214,-0.0107172553974176
CHOYP_ISCW_ISCW014880.1.1.m.27977,-0.00460041723044182,0.012686781471174
CHOYP_ISCW_ISCW015295.1.1.m.22192,-0.00598839775589787,-0.000342725508163165
CHOYP_ISCW_ISCW016254.2.5.m.38599,-0.00955008217340316,-0.0143075368361475
CHOYP_ISCW_ISCW017188.1.1.m.23179,-0.00232704063967841,-0.00595869359408235
CHOYP_ISCW_ISCW017652.1.1.m.49306,-0.0106269893355858,0.0245747602654274
CHOYP_ISCW_ISCW017707.1.1.m.58329,0.00397305760505764,0.00119086975557299
CHOYP_ISCW_ISCW017709.1.1.m.30040,-0.0118958998548313,0.00561931152357474
CHOYP_ISCW_ISCW017872.2.2.m.60293,0.00157547596578287,-0.00921080307386175
CHOYP_ISCW_ISCW018425.1.1.m.35608,0.00333505167028002,-2.46853079074451e-05
CHOYP_ISCW_ISCW018501.2.2.m.61797,-0.0113997680380092,0.0188891841100449
CHOYP_AP1G1.1.1.m.13111,-2.41286678790172e-05,0.00151539300223789
CHOYP_ISCW_ISCW018536.1.1.m.56336,0.000443812788859782,0.00164866740927175
CHOYP_ISCW_ISCW018656.1.1.m.51893,-0.0163515331129009,0.00832735542134158
CHOYP_ISCW_ISCW020302.1.1.m.37564,0.000813552297355187,0.00228618329628869
CHOYP_ISCW_ISCW020550.2.2.m.18099,0.000648788727632528,0.000929788791484158
CHOYP_ISCW_ISCW021457.1.1.m.31134,-0.00766000553992403,0.00579665197762812
CHOYP_ISCW_ISCW021591.1.1.m.13969,-0.00142428012451564,-0.0158608042147458
CHOYP_ISCW_ISCW021591.1.1.m.13970,0.00157463744693405,0.00287143027104435
CHOYP_ISCW_ISCW022021.1.1.m.53168,0.00600508600205387,-0.00228213360451266
CHOYP_ISCW_ISCW022029.1.1.m.9014,-0.000132478064889659,0.000492052406211796
CHOYP_ISCW_ISCW022609.1.1.m.26988,-0.0114313924319057,-0.00727490992544127
CHOYP_AP1M1.1.1.m.56248,0.000929433862630476,0.00380240152877285
CHOYP_ISCW_ISCW023153.1.1.m.10480,0.000160940156011072,0.0008699237012265
CHOYP_ISCW_ISCW023180.1.2.m.31255,-0.0163192581996812,0.0248188037264188
CHOYP_ISCW_ISCW023297.1.1.m.11833,-0.00700526791408651,0.0161379563417367
CHOYP_ISCW_ISCW023591.1.1.m.9921,0.00978438596580933,0.00738993699425511
CHOYP_ISCW_ISCW023973.1.2.m.6506,0.00114530214332593,0.000415120364242171
CHOYP_ISY1.1.1.m.53545,-0.00425937448490592,-0.00670770584490124
CHOYP_ITB1.3.4.m.28565,-0.00929013284633509,-0.0157312597637523
CHOYP_ITPA.1.1.m.13655,-0.0052160737144378,-0.00781436589388471
CHOYP_IVD.1.2.m.5213,6.76662768651871e-05,-0.000922532231566145
CHOYP_IVD.2.2.m.14522,-0.00319949831334588,-0.00243688146297724
CHOYP_AP2M1.1.1.m.25996,0.0033182366307187,0.00107275256410304
CHOYP_JNK.1.1.m.1540,-0.00257637559754485,0.00297121305273256
CHOYP_K0020.1.1.m.1673,-0.00309023062127171,-0.003381315937291
CHOYP_K6PF.1.1.m.46882,6.82687790280636e-05,2.20858786463189e-05
CHOYP_KAPR.1.3.m.8246,0.00249846315034827,-0.0183306479526036
CHOYP_KAPR.2.3.m.56519,-0.0026696304072426,0.00821578294546735
CHOYP_KAT3.1.1.m.49207,0.00110719657640916,0.000595833211140074
CHOYP_KAT8.1.1.m.28310,0.000165242644010981,-0.00716136074597834
CHOYP_KC1A.2.2.m.64030,-0.00218448528269313,-0.00323797725722359
